sample,gender,age,birth,residence,screeningQuestion-1,screeningQuestion-2,screeningQuestion-3,screeningQuestion-4,screeningQuestion-5,screeningQuestion-6,screeningQuestion-7,screeningQuestion-8,screeningQuestion-9,groups,Artist,Statement,Order,ai_experience,ai_appsCount,ai_usageFrequency,ai_attitude_productive,ai_attitude_enjoyable,A_perception_emotion-1,A_perception_emotion-2,A_perception_intention-1,A_perception_intention-2,A_perception_cognition-1,A_perception_cognition-2,A_artisticValue-1,A_artisticValue-2,A_artisticValue-3,A_enjoyment-1,A_enjoyment-2,A_enjoyment-3,B_perception_emotion-1,B_perception_emotion-2,B_perception_intention-1,B_perception_intention-2,B_perception_cognition-1,B_perception_cognition-2,B_artisticValue-1,B_artisticValue-2,B_artisticValue-3,B_enjoyment-1,B_enjoyment-2,B_enjoyment-3,validation,education,income,art_education-or-profession
262,2,31,2,1,1,2,3,4,5,,7,8,,3,Human,absent,classroom first,1,1,3,2,1,4,4,4,4,4,4,2,2,4,2,2,2,2,4,4,4,2,2,4,4,4,4,4,3,2,5,2,2
268,1,53,4,8,1,,3,,5,,,,,1,Human,present,classroom first,1,3,2,1,2,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,4,3,3,4,3,3,3,3,3,1,5,3,2
269,2,51,4,2,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,1,4,1,1,4,4,4,4,3,4,5,4,5,5,5,4,3,3,3,3,3,4,4,3,3,4,4,3,1,6,5,2
270,2,32,2,1,1,2,3,4,5,,7,8,,6,AI,present,scene first,1,1,4,2,2,3,5,4,3,3,4,4,3,5,5,5,4,4,4,4,4,4,5,5,4,5,4,5,5,1,5,5,2
272,1,30,2,3,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,1,3,1,1,3,4,3,5,4,3,3,5,4,4,3,4,3,4,4,3,4,4,5,4,4,4,3,4,1,5,7,2
277,2,40,3,12,1,,,,5,,,8,,7,Human,absent,scene first,1,1,4,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,4,2,5,5,2,3,4,1,1,2,1
278,2,35,2,1,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,2,5,1,1,2,2,4,4,4,3,3,3,3,3,3,2,2,3,3,3,3,3,3,4,4,4,2,2,1,6,4,2
282,2,37,2,6,1,2,3,4,5,,7,8,,8,AI,absent,scene first,2,,,,,2,2,5,5,2,2,5,5,5,5,5,3,2,2,5,5,2,2,5,5,5,5,5,2,1,4,1,2
283,1,65,5,1,1,2,3,4,5,6,7,8,,6,AI,present,scene first,2,,,,,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,5,2,2
287,1,55,4,1,1,,3,4,,6,7,8,,4,AI,absent,classroom first,2,,,,,3,3,4,4,3,3,4,3,4,4,4,3,2,3,4,4,3,4,4,3,4,3,4,3,2,5,4,2
289,1,35,2,17,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,2,3,3,3,3,3,3,4,3,4,4,3,4,4,4,4,4,4,4,3,4,3,4,3,2,5,2,2
294,1,46,3,8,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,1,1,1,1,2,2,5,3,2,2,4,3,3,3,5,3,3,3,5,4,3,3,4,3,3,3,5,3,2,6,3,2
295,1,48,3,5,1,2,3,4,5,,7,8,,1,Human,present,classroom first,1,1,2,1,1,5,4,5,2,4,5,5,5,5,2,5,2,5,2,4,2,2,5,4,2,4,3,2,2,2,5,3,2
297,2,27,1,1,1,2,3,4,5,,7,8,,3,Human,absent,classroom first,1,2,5,2,1,5,3,4,4,4,5,3,3,4,4,5,3,4,4,3,4,4,3,2,2,3,2,4,2,1,4,1,1
300,2,46,3,10,1,2,,4,5,,7,8,,5,Human,present,scene first,2,,,,,3,3,4,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,1,5,4,2
302,2,32,2,11,1,2,3,4,5,,7,8,,1,Human,present,classroom first,1,1,6,2,2,3,3,3,1,3,1,1,3,3,1,1,1,1,3,3,1,3,3,3,3,3,1,3,1,1,2,2,1
304,2,37,2,8,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,2,,,,,2,2,4,4,2,3,2,2,1,2,1,1,3,3,4,5,3,3,4,3,4,4,2,2,2,4,2,1
307,1,37,2,17,1,2,3,4,,,7,8,,8,AI,absent,scene first,1,1,2,1,1,4,4,5,4,3,4,4,4,4,3,4,3,3,4,4,3,4,3,4,4,3,4,5,4,1,2,2,2
308,2,31,2,2,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,1,6,2,2,3,4,4,4,4,4,5,4,5,5,4,3,4,4,5,4,4,4,5,4,4,3,4,3,1,5,2,1
310,1,33,2,13,1,2,3,,,,7,8,,1,Human,present,classroom first,2,,,,,2,4,4,5,5,4,4,3,5,3,4,2,3,4,4,4,2,3,3,2,4,3,4,2,2,5,1,2
311,2,38,2,1,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,1,6,1,2,1,1,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,3,3,3,1,6,3,2
313,1,44,3,1,1,,3,4,,,7,8,,3,Human,absent,classroom first,1,2,2,1,1,2,3,1,3,3,5,2,3,4,3,5,2,2,4,5,4,3,3,4,5,5,4,2,4,1,4,3,2
314,2,36,2,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,1,4,1,1,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,3,2,5,7,2
315,1,41,3,1,1,2,3,4,,,,,,4,AI,absent,classroom first,2,,,,,1,1,4,3,2,2,4,3,3,2,2,3,1,1,4,2,2,1,1,2,1,2,2,1,1,5,6,2
316,2,30,2,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,2,2,1,1,4,2,4,5,4,5,5,3,4,4,5,5,4,4,4,5,5,5,5,3,5,4,5,5,1,5,2,1
317,2,25,1,1,1,2,3,4,,,7,8,,6,AI,present,scene first,1,3,2,1,2,1,1,4,4,2,1,3,3,3,3,3,2,2,1,4,3,3,2,1,2,3,3,4,1,1,5,2,2
318,2,54,4,8,1,,3,4,,,,8,,6,AI,present,scene first,1,1,5,1,1,2,3,4,2,4,4,4,5,5,5,5,4,2,2,4,2,3,3,4,5,5,5,5,4,1,2,2,2
319,1,40,3,8,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,1,2,1,1,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,5,3,2
320,1,52,4,3,1,2,3,4,,6,7,8,,7,Human,absent,scene first,1,2,6,2,1,3,3,4,3,2,3,3,3,4,2,3,2,4,4,3,4,4,3,4,3,3,3,4,2,1,5,5,2
321,2,34,2,1,1,2,3,4,5,,7,8,,3,Human,absent,classroom first,1,1,4,1,1,3,2,4,4,2,2,4,3,3,1,4,2,3,4,4,4,3,4,4,4,3,4,4,3,2,5,2,2
323,1,32,2,12,1,2,3,4,5,,7,8,,3,Human,absent,classroom first,1,1,6,1,1,4,4,4,4,3,4,4,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,1,6,3,2
326,2,44,3,2,1,2,3,4,5,,,,,4,AI,absent,classroom first,1,1,6,1,2,3,3,3,2,2,3,3,2,3,2,3,3,3,4,4,3,3,3,3,3,3,4,3,3,1,2,3,2
327,2,20,1,6,1,,3,4,5,,7,8,,7,Human,absent,scene first,2,,,,,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,1,3,1,2
331,1,54,4,1,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,1,3,1,1,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,1,5,4,2
334,1,34,2,7,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,1,4,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,2,1,4,2,2,2,3,2,2,8,5,2
336,2,27,1,8,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,1,6,1,1,3,4,3,3,3,4,4,3,3,3,2,1,2,2,3,2,3,2,2,3,3,3,2,2,1,5,2,1
337,2,26,1,15,1,2,3,4,5,,,8,,8,AI,absent,scene first,1,1,3,1,1,3,3,5,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,2,3,1,2
338,2,56,4,8,1,2,3,4,5,,7,8,,4,AI,absent,classroom first,1,2,3,1,1,3,3,3,3,2,2,3,4,3,4,4,3,3,2,2,2,2,2,3,3,3,3,3,3,1,4,3,2
339,1,46,3,16,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,1,4,2,1,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2
340,1,64,5,8,1,2,3,4,5,6,,8,,2,AI,present,classroom first,1,2,3,1,2,3,2,4,2,4,2,2,4,4,3,4,2,2,2,4,2,4,2,4,3,4,4,4,3,2,6,5,1
342,2,24,1,1,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,1,1,3,2,1,2,4,4,3,3,3,4,4,3,4,5,4,4,3,3,3,4,4,3,3,4,3,4,4,2,5,2,2
343,1,24,1,1,1,2,3,4,5,,7,8,,7,Human,absent,scene first,1,1,4,1,1,2,2,3,2,2,3,3,3,4,4,2,2,3,3,3,2,2,3,2,3,2,2,2,2,2,2,3,2
345,1,49,3,5,1,2,3,4,5,,7,8,,4,AI,absent,classroom first,1,3,1,2,2,4,2,3,2,2,3,3,2,3,2,4,2,2,2,1,2,3,2,2,2,2,2,1,1,1,6,4,1
347,1,45,3,8,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,1,7,1,2,2,4,3,3,2,2,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,3,1,5,3,2
348,1,64,5,1,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,1,4,1,1,3,4,4,5,4,3,4,5,4,3,5,4,4,5,4,5,4,3,4,5,4,4,5,4,1,5,3,2
350,2,66,5,8,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,1,4,1,1,3,3,4,4,3,4,4,3,3,3,3,3,4,4,4,4,3,4,4,3,4,3,4,4,1,2,2,2
351,2,54,4,8,1,2,3,4,5,,7,8,,3,Human,absent,classroom first,1,1,3,2,2,2,1,3,3,2,1,4,1,3,1,2,1,3,4,3,2,1,1,3,2,2,2,1,1,1,5,3,2
354,1,44,3,15,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,2,,,,,4,4,4,3,4,5,4,4,4,4,4,4,2,3,3,2,3,2,3,3,2,3,2,2,2,5,4,2
357,2,26,1,8,1,2,3,4,5,,7,8,,8,AI,absent,scene first,1,1,4,1,1,3,2,4,2,1,2,4,3,3,3,4,2,2,2,4,2,2,2,4,2,4,3,3,2,1,5,7,2
360,2,57,4,8,1,2,3,4,5,,7,8,,1,Human,present,classroom first,1,1,4,2,2,4,4,4,4,4,4,4,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2
361,1,28,1,8,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,1,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,3,4,3,4,3,2,2,2,2
364,1,65,5,15,1,2,3,4,5,6,7,8,,5,Human,present,scene first,2,,,,,3,4,4,4,2,4,3,3,2,4,2,2,4,5,4,4,4,4,5,2,4,3,4,2,2,5,3,2
366,1,34,2,4,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,1,6,2,1,3,3,2,3,2,3,4,4,4,4,4,3,3,3,3,3,3,3,5,4,4,3,4,3,1,5,3,2
367,1,49,3,15,1,,3,4,5,,7,8,,1,Human,present,classroom first,1,1,3,1,1,4,4,4,4,3,3,4,3,3,4,3,3,3,4,4,4,3,3,4,3,4,4,3,4,1,4,3,2
368,2,29,1,8,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,1,5,1,1,3,4,4,4,2,3,2,3,2,3,4,1,2,3,3,3,1,2,2,2,1,2,1,1,1,5,2,2
370,1,51,4,8,1,2,3,4,5,,,8,,8,AI,absent,scene first,1,2,4,1,1,3,2,3,1,4,4,3,2,2,2,3,2,2,2,3,2,2,3,3,2,2,2,3,2,2,6,4,2
371,1,40,3,2,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,1,1,4,2,2,2,3,4,2,3,3,3,4,3,3,3,2,4,4,4,3,3,4,3,3,4,3,4,3,1,5,2,2
374,1,41,3,1,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,2,4,1,1,4,2,4,5,4,3,4,4,4,4,4,4,3,2,3,3,3,2,2,1,2,2,1,1,2,5,2,1
376,1,57,4,1,1,,3,4,5,,,,,3,Human,absent,classroom first,1,2,4,1,1,1,2,3,2,3,2,3,2,3,2,2,3,2,2,1,2,2,2,1,2,2,2,2,1,1,5,3,2
377,1,42,3,9,1,,3,4,,,7,8,,2,AI,present,classroom first,1,1,2,1,1,4,4,4,3,4,4,5,4,5,4,5,4,4,4,3,3,4,4,4,4,4,4,4,4,1,5,2,2
379,1,32,2,1,1,2,3,4,5,,7,8,,8,AI,absent,scene first,2,,,,,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,1,5,2,2
380,2,46,3,1,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,2,3,1,1,4,4,4,3,4,4,4,3,4,3,4,3,3,3,3,2,2,3,2,2,3,2,2,1,2,4,1,2
386,1,38,2,11,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,1,4,1,1,4,4,5,2,3,2,4,3,4,3,4,2,3,4,4,3,2,2,4,3,4,4,3,2,1,6,3,2
388,2,34,2,12,1,,,,5,,,8,,7,Human,absent,scene first,1,1,5,1,1,1,5,3,3,5,5,5,3,5,5,4,3,5,5,5,5,5,5,5,5,5,3,5,3,1,5,3,2
389,1,34,2,1,1,,3,4,,,7,8,,3,Human,absent,classroom first,1,1,4,1,1,3,4,4,4,4,3,4,4,4,3,4,2,3,3,3,4,2,2,3,4,4,4,4,3,1,5,4,2
390,2,44,3,15,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,3,2,1,2,1,2,4,4,3,2,4,3,4,3,4,2,2,3,4,4,4,3,4,2,4,4,4,3,1,4,2,2
391,2,38,2,4,1,2,3,4,5,6,7,8,,6,AI,present,scene first,2,,,,,3,3,4,5,3,3,5,3,5,4,2,3,4,4,5,5,4,3,4,4,4,3,4,3,2,5,2,1
394,1,47,3,8,1,,,,5,6,,,,7,Human,absent,scene first,1,1,2,1,1,2,4,3,3,4,4,4,4,3,4,2,3,3,4,4,4,4,4,4,3,4,2,4,3,1,2,4,2
396,2,42,3,1,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,1,3,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,2,2
398,2,38,2,4,1,,3,4,5,6,7,8,,3,Human,absent,classroom first,2,,,,,3,4,4,4,3,4,4,3,3,2,3,2,2,4,4,3,3,3,4,2,3,2,2,2,1,5,7,2
399,1,53,4,3,1,2,3,4,,6,7,8,,1,Human,present,classroom first,1,1,6,1,1,2,4,5,4,4,4,4,2,3,2,4,3,2,4,4,4,3,4,5,2,3,2,4,3,2,6,4,2
401,1,43,3,2,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,1,5,1,1,2,4,4,2,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,2,5,3,2
402,1,53,4,9,1,,3,4,5,,7,8,,5,Human,present,scene first,1,1,6,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,3,2,1,6,3,2
403,2,32,2,8,1,2,3,4,,6,7,8,,8,AI,absent,scene first,2,,,,,3,3,4,4,3,3,4,3,4,3,3,3,3,3,4,4,3,3,4,3,3,3,4,3,2,5,2,2
404,1,47,3,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,2,1,1,1,2,2,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2
405,1,69,5,3,1,2,3,4,5,,7,,,6,AI,present,scene first,1,2,3,1,1,3,2,4,3,4,3,2,3,4,4,3,3,4,4,4,3,2,3,2,2,3,3,3,3,2,5,5,1
408,2,37,2,13,1,2,,4,,,,8,,6,AI,present,scene first,1,2,5,2,2,4,3,4,4,4,4,3,4,4,4,4,3,5,5,5,5,5,5,5,4,5,3,4,4,1,5,3,2
410,2,33,2,12,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,2,,,,,3,3,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,5,4,3,1,5,2,2
413,2,33,2,1,1,2,,4,5,6,7,8,,8,AI,absent,scene first,2,,,,,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,1,5,3,2
416,1,47,3,1,1,,,4,,,,8,,8,AI,absent,scene first,1,1,4,1,1,3,2,4,3,3,3,4,3,4,4,4,3,4,4,4,4,3,3,4,3,4,3,4,3,1,6,4,2
417,2,28,1,10,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,1,1,4,1,1,3,3,4,4,3,3,4,3,4,4,3,3,4,4,4,4,4,4,4,3,4,3,4,3,2,5,2,2
419,2,38,2,10,1,2,,4,,,,,,2,AI,present,classroom first,1,1,7,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,2,4,1,2
421,2,31,2,1,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,3,5,2,1,4,4,4,4,3,4,4,4,5,4,2,2,2,4,4,3,2,2,3,2,2,3,1,1,1,6,3,1
422,1,51,4,1,1,2,3,4,,,7,8,,4,AI,absent,classroom first,1,1,4,1,1,3,4,4,3,3,4,4,3,4,3,4,3,3,3,4,3,3,4,4,4,4,3,4,4,1,8,4,2
423,2,32,2,1,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,2,5,1,1,3,4,4,2,3,3,4,3,3,3,4,2,3,3,4,3,3,3,4,3,3,3,4,3,1,5,2,2
424,1,50,4,1,1,2,3,4,5,,7,8,,5,Human,present,scene first,2,,,,,2,4,4,3,4,4,4,4,5,4,3,3,4,5,4,4,5,5,5,4,5,4,4,3,1,5,4,2
425,1,60,5,4,1,2,3,4,5,,,8,,1,Human,present,classroom first,1,3,3,1,1,4,5,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,3,2,5,4,2
428,1,51,4,8,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,2,,,,,2,3,3,3,3,4,3,2,2,2,3,2,3,4,4,2,3,4,3,3,3,4,3,3,1,4,3,2
429,2,42,3,1,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,2,2,1,1,1,4,3,4,4,4,5,4,5,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,1,8,6,1
431,2,42,3,1,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,3,2,1,1,4,4,4,4,4,4,3,3,4,3,4,3,3,3,4,3,3,3,3,3,4,3,2,2,1,5,2,2
432,2,34,2,8,1,2,3,4,5,,7,8,,2,AI,present,classroom first,1,2,5,2,1,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,5,4,5,4,4,1,4,2,2
433,2,34,2,8,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,2,3,1,1,3,3,3,3,3,3,3,3,3,3,4,3,2,4,4,3,4,4,4,5,4,4,4,4,1,6,2,2
434,2,22,1,1,1,2,3,4,5,,7,8,,2,AI,present,classroom first,1,3,2,1,1,3,3,4,2,3,4,4,2,3,3,4,2,2,2,3,3,2,3,3,2,2,3,3,2,1,3,1,2
435,2,29,1,4,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,2,,,,,2,2,3,3,3,4,4,3,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,1,4,2,2
438,2,42,3,4,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,2,2,1,1,3,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,2,5,2,2
439,1,36,2,1,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,3,1,1,1,3,5,3,4,5,5,5,5,5,5,4,3,4,3,5,5,5,4,4,3,4,4,5,4,2,5,2,1
440,1,60,5,1,1,2,3,4,5,,7,8,,7,Human,absent,scene first,1,2,3,1,2,3,4,3,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,3,3,3,1,5,2,2
441,2,46,3,1,1,2,3,4,5,,7,8,,2,AI,present,classroom first,2,,,,,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,4,3,2,4,5,2
444,2,51,4,8,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,2,4,3,3,3,3,3,3,3,4,4,2,2,2,2,3,3,3,2,2,2,2,2,2,1,5,3,2
447,2,56,4,6,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,1,6,2,2,4,3,4,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,3,3,3,2,2,1,5,5,2
448,1,49,3,2,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,1,3,1,1,2,2,3,3,3,3,3,3,3,2,2,1,4,4,4,4,4,4,4,4,4,3,4,3,1,5,5,1
450,1,50,4,2,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,5,1,1,1,4,5,4,4,4,4,5,4,5,4,4,4,4,5,5,4,4,4,5,5,4,4,5,4,1,4,3,2
452,2,55,4,8,1,2,3,4,5,,7,8,,6,AI,present,scene first,2,,,,,2,2,2,2,2,2,2,2,3,2,3,2,4,4,3,3,3,3,4,4,4,3,3,2,1,5,1,2
455,1,30,2,4,1,,,4,,,7,8,,1,Human,present,classroom first,1,1,3,2,1,4,4,3,4,4,3,3,4,2,3,3,2,2,2,3,2,2,3,3,2,3,3,2,2,2,5,1,2
456,2,21,1,8,1,2,3,4,5,,7,8,,6,AI,present,scene first,2,,,,,1,1,4,2,2,1,4,3,4,3,2,1,1,1,4,2,2,1,4,3,3,3,2,1,1,3,1,2
457,2,35,2,15,1,2,3,4,5,,7,8,,6,AI,present,scene first,2,,,,,3,4,5,4,4,3,4,5,5,5,5,5,4,5,5,5,3,4,4,3,4,3,4,5,1,4,2,2
459,2,23,1,15,1,2,3,4,5,,,8,,6,AI,present,scene first,1,2,3,1,1,4,4,5,3,4,4,4,2,4,4,4,2,2,3,4,2,3,4,4,2,3,2,4,2,1,6,4,1
460,1,40,3,1,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,3,3,4,4,3,3,3,2,2,3,2,1,3,3,4,4,3,2,3,2,2,3,2,1,1,5,3,2
463,1,41,3,1,1,2,3,4,5,,7,8,,6,AI,present,scene first,2,,,,,2,2,4,2,3,4,4,2,4,3,4,3,3,4,4,3,3,4,5,4,4,3,4,3,1,5,3,2
464,2,27,1,8,1,2,,,5,,7,8,,1,Human,present,classroom first,1,2,3,2,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,2,1
465,1,54,4,8,1,2,3,4,5,,7,8,,2,AI,present,classroom first,2,,,,,3,2,4,4,4,3,4,2,2,2,3,2,3,3,4,4,4,3,3,2,2,1,3,1,1,5,4,2
466,1,40,3,2,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,2,2,1,1,4,4,4,4,3,3,4,3,4,3,3,3,3,3,4,4,4,4,4,3,4,3,3,3,1,5,5,2
467,1,40,3,8,1,,3,4,5,,7,8,,6,AI,present,scene first,1,1,4,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,2
468,2,51,4,1,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,1,3,1,1,3,4,4,4,3,3,4,3,4,4,4,4,4,4,3,4,4,4,5,5,4,5,4,4,1,4,3,2
469,1,40,3,8,1,,3,4,5,,,,,4,AI,absent,classroom first,1,1,2,1,1,4,4,3,3,4,4,5,2,3,3,4,3,3,3,3,4,4,5,4,2,3,3,4,3,1,4,2,2
470,1,58,4,15,1,2,3,4,5,,7,8,,4,AI,absent,classroom first,1,2,2,1,1,4,4,4,5,5,4,4,5,4,4,5,5,4,4,3,4,3,3,4,4,5,4,4,4,1,5,4,2
471,2,37,2,8,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,2,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,3,3,3,4,3,1,2,2,2
472,1,34,2,1,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,2,,,,,3,3,4,3,3,4,2,3,3,4,4,3,4,4,3,4,4,3,4,3,4,4,4,3,2,7,1,2
474,2,26,1,1,1,2,3,4,5,,7,8,,5,Human,present,scene first,1,3,2,1,1,3,3,4,3,3,3,4,4,4,5,5,2,4,4,4,4,4,4,5,4,5,5,5,5,1,5,2,2
475,1,49,3,15,1,2,3,4,5,,7,8,,5,Human,present,scene first,1,1,4,1,1,3,3,4,4,4,5,4,4,4,4,3,3,4,4,4,3,4,4,5,4,5,3,4,4,1,4,4,2
479,2,35,2,5,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,2,3,2,4,4,4,5,5,5,5,4,3,4,5,4,5,4,4,5,5,5,4,4,3,1,4,3,2
480,1,36,2,8,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,1,6,2,1,4,4,4,3,4,3,4,3,4,4,2,3,2,4,3,3,3,3,5,3,3,4,3,4,2,5,2,2
481,1,43,3,2,1,,,4,5,,,8,,8,AI,absent,scene first,2,,,,,2,2,4,3,3,3,4,3,4,3,3,2,4,3,4,4,3,4,3,2,4,2,4,2,1,5,3,2
484,1,36,2,1,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,1,2,2,2,1,2,4,3,3,2,3,4,3,4,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,1,5,6,1
486,2,44,3,8,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,1,4,1,1,4,3,3,3,3,4,3,3,3,2,4,3,3,3,3,3,3,3,3,2,3,3,3,2,1,5,1,2
489,1,58,4,1,1,2,3,4,5,,7,,,7,Human,absent,scene first,1,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,1,5,4,2
492,1,47,3,4,1,,3,4,5,,7,8,,1,Human,present,classroom first,1,2,2,1,1,4,3,4,3,3,3,3,3,3,3,2,2,4,3,3,3,3,2,2,3,3,3,3,2,2,5,3,2
498,2,47,3,1,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,1,3,2,2,2,2,4,2,2,2,2,1,1,2,4,2,2,1,4,2,2,2,2,1,1,2,2,2,1,5,6,2
501,1,44,3,8,1,2,,4,5,6,7,8,,2,AI,present,classroom first,2,,,,,4,5,4,3,2,3,4,3,4,3,4,3,4,3,4,3,2,3,4,3,3,2,3,2,1,5,6,2
504,1,52,4,5,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,2,4,2,1,3,3,4,3,3,4,3,3,3,3,3,3,4,3,4,3,4,4,3,3,4,3,3,3,1,6,5,2
506,1,40,3,14,1,2,3,4,5,,7,8,,6,AI,present,scene first,1,1,2,2,1,2,2,3,3,2,3,2,2,4,2,3,1,2,2,3,3,3,3,3,3,4,3,4,2,2,5,3,2
